"","ResponseId","Q2","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15_1","Q15_2","Q15_3","Q16_1","Q16_2","Q16_3","Q17_1","Q17_2","Q17_3","Q17_4","Q18","Q19","Q20","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q21_9","Q22_1","Q22_2","Q22_3","Q23_1","Q23_2","Q23_3","Q24","Q25a","Q25b","Q26","Q27","Q28","Q29_1","Q29_2","Q29_3","Q29_4","Q29_5","Q29_6","Q29_7","Q29_8","Q29_9","Q29_10","Q29_11"
"1","R_3NxjfGJCnwxE98n",3,2,1,1,3,5,1,3,2,NA,NA,1,1,1,1,2,1,2,4,2,1,2,5,4,3,4,2,5,2,2,2,4,4,3,5,2,2,4,4,4,2,7,1,2,2,1,2,4,2,3,2,5,2,2,1,2,2
"2","R_6Jwg8dmvwkdgqaZ",1,2,2,2,3,1,2,5,2,NA,NA,2,1,1,1,2,2,2,4,2,1,2,3,5,1,5,5,3,3,2,3,5,1,1,2,2,1,1,1,1,3,3,NA,3,1,1,1,4,1,2,3,5,4,1,1,1,3
"3","R_1eynebjNXOMDba8",1,2,1,1,3,4,1,1,1,2,NA,1,1,1,1,2,2,2,2,2,1,1,4,4,2,5,4,5,1,1,1,2,4,5,3,2,2,1,1,2,2,4,NA,3,3,1,1,4,1,2,4,5,2,2,2,2,2
"4","R_3EVWlhIxBEFUJqz",1,2,2,2,4,NA,2,1,2,NA,NA,1,1,1,1,2,2,2,1,2,1,1,5,1,1,5,5,2,1,1,1,2,1,1,5,1,1,1,1,1,3,7,2,2,5,1,1,5,3,1,1,5,3,4,1,1,5
"5","R_3qOGmxigvXzFH4p",3,2,2,1,3,3,1,1,1,1,1,2,1,2,2,1,1,1,3,2,1,1,3,1,2,5,1,5,1,1,1,5,1,5,5,2,1,1,1,1,3,5,NA,3,4,1,3,1,3,3,1,1,4,4,3,4,5
"6","R_8k8guc5uSF2vxm1",3,1,2,2,3,1,2,5,2,NA,NA,2,3,3,3,1,1,1,2,2,2,2,3,4,1,1,1,5,1,1,1,5,1,5,4,2,2,1,1,2,2,1,NA,NA,3,1,3,2,4,4,2,2,4,4,4,2,3
"7","R_3fpY4pzGbYFp2jp",3,2,1,2,3,1,2,2,1,2,NA,2,1,1,1,2,2,2,4,1,1,2,2,1,5,5,2,5,2,2,1,5,3,4,5,3,1,2,2,4,2,4,NA,3,4,2,2,4,4,2,5,4,4,4,4,4,2
"8","R_1Ka8tfuLaSmIq8r",1,1,2,2,2,5,1,1,1,2,NA,2,1,1,1,2,1,1,1,1,1,3,3,5,1,5,5,2,1,1,1,1,1,1,5,1,1,1,1,1,4,2,NA,1,2,1,1,5,2,1,5,5,2,2,2,1,2
"9","R_TgYX5YFS8CBeyE9",3,2,1,2,4,NA,NA,4,2,NA,NA,2,1,2,2,2,2,2,2,2,2,4,5,5,2,5,4,2,2,2,1,1,1,2,1,1,2,4,5,1,3,4,NA,2,4,1,1,4,2,1,5,4,2,2,2,2,2
"10","R_1r79he1dobKu59v",1,2,2,2,4,NA,2,3,1,2,NA,2,1,2,2,2,2,2,2,4,2,2,3,5,3,3,1,5,1,1,1,3,5,5,5,3,3,5,3,3,2,7,2,1,3,1,1,3,1,1,5,5,1,1,1,1,3
"11","R_2TH9nWrDOM4r5ws",3,2,1,1,3,6,1,1,2,NA,NA,2,3,2,3,2,2,2,1,1,1,2,3,1,2,5,3,1,3,1,1,5,1,5,4,2,2,1,5,5,3,3,NA,2,4,2,2,3,3,3,1,4,3,3,3,3,4
"12","R_3sBtzqZMbua2dYB",1,2,2,2,4,NA,2,5,1,2,NA,2,1,1,1,2,2,2,1,1,1,NA,3,3,3,5,5,5,2,5,5,2,5,5,3,2,1,5,5,4,4,1,NA,2,2,1,2,5,1,1,5,5,1,1,1,1,1
"13","R_22Vot12rj0htYtz",1,1,1,2,4,NA,2,2,1,2,NA,2,2,2,3,2,2,2,2,1,1,1,3,1,2,5,2,2,1,1,1,2,2,5,4,2,1,5,5,4,2,5,NA,3,3,1,2,2,4,1,1,2,5,5,5,5,5
"14","R_1Ig5hU8JzYjgViY",2,2,2,2,3,4,1,3,1,1,1,1,1,1,1,2,1,1,3,3,3,4,3,5,1,5,2,5,5,5,5,1,1,1,4,3,2,1,2,1,2,1,NA,2,4,1,2,5,2,2,4,2,1,1,2,1,4
"15","R_2v6XWeUiCrIwwJq",1,2,1,2,4,NA,1,4,2,NA,NA,2,1,1,1,2,2,2,4,2,2,2,4,5,1,5,1,5,1,1,1,1,1,5,3,3,1,5,5,1,3,1,NA,2,1,1,1,5,1,1,5,5,1,1,1,1,1
"16","R_2TTxvf7mNVU8Dip",1,2,2,2,3,4,1,1,3,NA,NA,2,1,1,1,2,2,1,2,2,2,4,4,5,1,5,4,3,1,2,1,1,3,4,4,3,4,5,3,1,2,7,2,1,4,1,1,5,1,1,5,5,2,2,2,2,3
"17","R_1kMsZgEQFYG3EFe",1,2,2,2,3,5,1,1,1,2,NA,2,1,1,1,2,2,2,1,1,3,3,5,5,1,5,1,5,1,1,1,1,1,5,2,2,5,5,4,1,2,1,NA,1,5,1,1,5,1,1,2,5,1,1,1,1,4
"18","R_1NyvSiFeTNvJLWC",3,2,2,2,1,1,2,1,2,NA,NA,2,1,1,1,2,1,NA,1,1,4,4,3,2,2,5,2,5,5,5,5,5,2,2,3,3,3,4,4,1,4,1,NA,3,5,1,1,5,1,1,4,2,1,1,1,1,1
"19","R_2zpvtGWqE6gdwT0",2,2,2,2,3,6,2,1,2,NA,NA,2,1,1,1,2,1,2,2,2,2,2,4,5,2,5,2,5,1,2,2,2,4,5,4,2,3,4,2,2,2,2,NA,2,3,1,2,2,4,2,2,3,2,3,2,2,2
"20","R_4OuBsY0d6ztLGjD",1,1,1,2,1,4,2,5,1,1,1,2,2,2,1,2,2,1,1,1,2,3,5,5,2,5,3,1,1,1,1,1,1,4,3,2,3,5,5,1,2,1,NA,2,3,1,1,5,1,1,2,2,2,2,2,2,2
"21","R_2YunBWySuYKs1In",1,2,1,2,3,6,2,1,3,NA,NA,2,1,1,2,2,2,1,4,1,1,4,2,2,3,5,1,5,1,1,1,4,4,5,4,2,1,2,5,1,NA,NA,NA,NA,2,1,2,4,1,1,2,5,1,2,2,1,1
"22","R_2pYKiwrBo075DCY",1,2,2,2,3,4,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,5,5,1,5,5,5,2,1,2,2,5,5,3,2,3,5,2,1,4,2,NA,1,2,1,1,5,1,1,5,5,1,1,1,1,1
"23","R_3jTdWWOEdnWqOCr",1,2,1,2,3,3,1,2,2,NA,NA,2,2,2,1,1,1,2,2,2,1,2,3,2,3,4,5,4,4,4,5,4,5,4,4,2,1,5,3,5,1,6,NA,4,4,2,NA,5,5,2,5,4,4,4,4,4,3
"24","R_2ePVN30Oc6f2Izu",2,1,1,2,3,4,2,3,1,2,NA,2,1,1,1,1,1,1,2,2,1,4,5,5,1,5,4,3,1,1,1,4,3,3,3,2,2,5,4,2,4,2,NA,3,2,1,1,5,2,1,2,5,3,2,NA,2,1
"25","R_3MnYBIvGP22vjps",1,2,2,2,4,NA,2,5,2,NA,NA,2,1,1,1,2,2,2,4,2,4,4,1,5,5,5,1,1,5,5,1,5,5,5,4,3,1,3,5,4,3,7,1,2,1,1,3,3,3,2,4,4,1,2,1,1,1
"26","R_307DCn3IjvgjcCU",3,1,2,1,4,NA,1,2,1,2,NA,2,1,2,3,1,2,1,1,1,4,4,2,2,2,5,1,1,1,1,2,2,2,1,4,3,2,5,2,1,1,6,NA,5,3,2,2,2,1,1,1,1,2,5,4,2,3
"27","R_2veuAQS7ByOLQT6",1,2,2,2,3,1,2,4,2,NA,NA,2,2,2,2,2,2,2,2,2,1,2,2,4,4,1,1,5,1,2,1,5,5,5,5,3,3,1,1,4,2,3,NA,4,5,1,2,4,3,1,1,1,2,2,1,2,1
"28","R_1K8C7JZXNNBcbAl",1,1,1,2,3,3,1,3,3,NA,NA,2,1,1,1,1,1,1,2,1,1,NA,3,1,2,5,1,4,1,1,1,5,5,5,5,2,2,4,5,1,4,3,NA,2,2,1,2,4,1,1,1,5,2,2,2,1,2
"29","R_2yqF2e9NA2QQvff",1,2,2,2,4,NA,2,5,1,1,1,1,1,1,1,2,2,2,2,1,1,3,5,5,1,5,5,1,1,1,2,1,1,4,4,3,2,1,2,2,4,1,NA,2,2,2,1,2,1,1,2,5,2,2,1,1,4
"30","R_3G9BgUKVMcylVUO",2,2,2,2,3,4,1,1,1,2,NA,1,1,1,1,2,2,2,1,1,1,1,5,5,1,5,5,5,5,1,3,3,1,3,1,1,3,1,1,1,4,3,NA,2,5,1,1,5,2,1,5,5,1,2,1,1,1
"31","R_2zGDHZyxTroQ3Kd",2,2,2,2,3,1,2,3,1,1,1,1,1,1,1,NA,1,NA,2,2,2,2,4,4,2,5,1,2,1,1,3,4,4,5,4,3,2,5,3,3,3,1,NA,3,2,2,1,5,3,1,3,3,1,4,1,1,1
"32","R_2zHpLnhQ4NzmhiC",2,2,1,2,4,NA,2,5,2,NA,NA,2,1,1,1,2,2,2,1,1,1,4,5,5,2,5,4,5,1,1,1,5,3,4,3,3,2,5,5,2,4,7,2,2,4,1,1,5,1,1,5,5,1,1,1,1,1
"33","R_1rBXbQqIY2T780L",2,2,2,2,4,NA,2,4,2,NA,NA,2,2,2,2,2,2,2,3,2,2,2,3,3,1,1,4,4,2,1,1,4,2,2,5,2,3,2,2,2,4,3,NA,2,4,1,2,4,2,1,2,4,4,3,2,2,2
